PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Noord-Holland;40020;07IX;07IX00;Roelof Venemaschool voor Protestants Christelijk Basisonderwijs;Laan Rozenburg;17;1181 ER;AMSTELVEEN;0362;AMSTELVEEN;Protestants-Christelijk;0206432385;www.roelofvenemaschool.nl;Laan Rozenburg;17;1181 ER;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;09OV;09OV00;Amstelschool;Reijgershof;4;1191 CS;OUDERKERK AAN DE AMSTEL;0437;OUDER-AMSTEL;Protestants-Christelijk;0204964935;www.amstelschool.nl;Reijgershof;4;1191 CS;OUDERKERK AAN DE AMSTEL;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;10FO;10FO00;Horizon;Landtong;8;1186 GP;AMSTELVEEN;0362;AMSTELVEEN;Rooms-Katholiek;0205404378;www.horizonamstelveen.nl;Landtong;8;1186 GP;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;10KB;10KB00;Rooms Katholieke BasisschoolHet Kofschip;Turfstekerspad;2;1191 GW;OUDERKERK AAN DE AMSTEL;0437;OUDER-AMSTEL;Rooms-Katholiek;0204963305;www.hetkofschip.nl;Turfstekerspad;2;1191 GW;OUDERKERK AAN DE AMSTEL;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;10WT;10WT00;De Cirkel;Orion;7;1188 AM;AMSTELVEEN;0362;AMSTELVEEN;Rooms-Katholiek;0206450125;www.bsdecirkelamstelveen.nl;Orion;7;1188 AM;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;12XL;12XL00;Het Palet;Benderslaan;2;1185 EK;AMSTELVEEN;0362;AMSTELVEEN;Protestants-Christelijk;0206412386;www.hetpalet-amstelveen.nl;Benderslaan;2;1185 EK;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;13DK;13DK00;Willem Alexanderschool;Orion;15-17;1188 AM;AMSTELVEEN;0362;AMSTELVEEN;Protestants-Christelijk;0206437980;www.walexanderschool.nl;Orion;15-17;1188 AM;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;23TW;23TW00;Rooms Katholieke Basisschool Triangel;Zeelandiahoeve;5-jul;1187 KR;AMSTELVEEN;0362;AMSTELVEEN;Rooms-Katholiek;0206453825;www.detriangel.net;Zeelandiahoeve;5-jul;1187 KR;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;24BD;24BD00;Karel Eykman School;Jane Addamslaan;13;1187 DA;AMSTELVEEN;0362;AMSTELVEEN;Protestants-Christelijk;0206419998;www.kareleykmanschool.nl;Jane Addamslaan;13;1187 DA;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;40020;31AW;31AW00;Brede School Rembrandt;Mr. P.J.M. Aalberselaan;2;1181 XJ;AMSTELVEEN;0362;AMSTELVEEN;Protestants-Christelijk;0206415463;www.bsrembrandt.nl;Mr. P.J.M. Aalberselaan;2;1181 XJ;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
